"GemeenteCode";"GemeenteNaam";"LijstNummer";"LijstNaam";"KandidaatNummer";"Initialen";"Roepnaam";"Tussenvoegsel";"Achternaam";"Woonplaats";"LandCode";"Geslacht"
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"1";"H.E.H.";"Rik";"van";"Niejenhuis";"Onnen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"2";"M.";"Mirjam";;"Wijnja";"Groningen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"3";"S.";"Stephanie";;"Bennett";"Groningen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"4";"J.J.";"Joren";"van";"Veen";"Groningen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"5";"J.";"Jeffry";"van";"Hoorn";"Groningen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"6";"B.E.";"Brenda";;"Harsveld";"Groningen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"7";"E.";"Elte";;"Hillekens";"Groningen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"8";"J.S.V.";"Jahir";;"Scoop";"Groningen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"9";"F.T.";"Femke";;"Folkerts";"Groningen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"10";"L.M.A.";"Lucas";;"Oldenburger";"Glimmen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"11";"I.S.";"Irene";;"Huitema";"Groningen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"12";"T.J.";"Tim";"van de";"Vendel";"Groningen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"13";"L.A.M.";"Leonore";"van der";"Heide";"Groningen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"14";"J.C.";"Justine";;"Jones";"Groningen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"15";"C.T.";"Ceciel";;"Nieuwenhout";"Groningen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"16";"M.A.";"Özkan";;"Ünlü";"Groningen";"NL";
"0014";"Groningen";"1";"GROENLINKS / Partij van de Arbeid (PvdA)";"17";"E.M.";"Elmar";;"Bakker";"Groningen";"NL";
