"GemeenteCode";"GemeenteNaam";"AantalZetels"
"0014";"Groningen";"45"
"0034";"Almere";"45"
"0037";"Stadskanaal";"23"
"0047";"Veendam";"21"
"0050";"Zeewolde";"19"
"0059";"Achtkarspelen";"21"
"0060";"Ameland";"11"
"0072";"Harlingen";"17"
"0074";"Heerenveen";"31"
"0080";"Leeuwarden";"39"
"0085";"Ooststellingwerf";"21"
"0086";"Opsterland";"23"
"0088";"Schiermonnikoog";"9"
"0090";"Smallingerland";"31"
"0093";"Terschelling";"11"
"0096";"Vlieland";"9"
"0098";"Weststellingwerf";"21"
"0106";"Assen";"35"
"0109";"Coevorden";"25"
"0114";"Emmen";"39"
"0118";"Hoogeveen";"31"
"0119";"Meppel";"25"
"0141";"Almelo";"35"
"0147";"Borne";"19"
"0148";"Dalfsen";"23"
"0150";"Deventer";"39"
"0153";"Enschede";"39"
"0158";"Haaksbergen";"19"
"0160";"Hardenberg";"33"
"0163";"Hellendoorn";"25"
"0164";"Hengelo (O)";"37"
"0166";"Kampen";"31"
"0168";"Losser";"19"
"0171";"Noordoostpolder";"31"
"0173";"Oldenzaal";"23"
"0175";"Ommen";"17"
"0177";"Raalte";"25"
"0180";"Staphorst";"17"
"0183";"Tubbergen";"19"
"0184";"Urk";"19"
"0189";"Wierden";"21"
"0193";"Zwolle";"39"
"0197";"Aalten";"21"
"0200";"Apeldoorn";"39"
"0202";"Arnhem";"39"
"0203";"Barneveld";"33"
"0209";"Beuningen";"21"
"0213";"Brummen";"19"
"0214";"Buren";"21"
"0216";"Culemborg";"23"
"0221";"Doesburg";"15"
"0222";"Doetinchem";"33"
"0225";"Druten";"17"
"0226";"Duiven";"19"
"0228";"Ede";"39"
"0230";"Elburg";"19"
"0232";"Epe";"23"
"0233";"Ermelo";"21"
"0243";"Harderwijk";"31"
"0244";"Hattem";"15"
"0246";"Heerde";"17"
"0252";"Heumen";"17"
"0262";"Lochem";"23"
"0263";"Maasdriel";"21"
"0267";"Nijkerk";"29"
"0268";"Nijmegen";"39"
"0269";"Oldebroek";"19"
"0273";"Putten";"21"
"0274";"Renkum";"23"
"0275";"Rheden";"27"
"0277";"Rozendaal";"9"
"0279";"Scherpenzeel";"15"
"0281";"Tiel";"27"
"0285";"Voorst";"21"
"0289";"Wageningen";"27"
"0293";"Westervoort";"17"
"0294";"Winterswijk";"21"
"0296";"Wijchen";"27"
"0297";"Zaltbommel";"23"
"0299";"Zevenaar";"29"
"0301";"Zutphen";"29"
"0302";"Nunspeet";"21"
"0303";"Dronten";"29"
"0307";"Amersfoort";"39"
"0308";"Baarn";"21"
"0310";"De Bilt";"27"
"0312";"Bunnik";"17"
"0313";"Bunschoten";"19"
"0317";"Eemnes";"15"
"0321";"Houten";"31"
"0327";"Leusden";"23"
"0331";"Lopik";"15"
"0335";"Montfoort";"15"
"0339";"Renswoude";"11"
"0340";"Rhenen";"19"
"0342";"Soest";"29"
"0344";"Utrecht";"45"
"0345";"Veenendaal";"35"
"0351";"Woudenberg";"17"
"0352";"Wijk bij Duurstede";"19"
"0353";"IJsselstein";"23"
"0355";"Zeist";"33"
"0356";"Nieuwegein";"33"
"0358";"Aalsmeer";"23"
"0361";"Alkmaar";"39"
"0362";"Amstelveen";"37"
"0363";"Amsterdam";"45"
"0373";"Bergen (NH)";"21"
"0375";"Beverwijk";"27"
"0376";"Blaricum";"15"
"0377";"Bloemendaal";"19"
"0383";"Castricum";"25"
"0384";"Diemen";"23"
"0385";"Edam-Volendam";"25"
"0388";"Enkhuizen";"17"
"0392";"Haarlem";"39"
"0394";"Haarlemmermeer";"39"
"0396";"Heemskerk";"25"
"0397";"Heemstede";"21"
"0399";"Heiloo";"19"
"0400";"Den Helder";"31"
"0405";"Hoorn";"35"
"0406";"Huizen";"27"
"0415";"Landsmeer";"15"
"0417";"Laren";"15"
"0420";"Medemblik";"29"
"0431";"Oostzaan";"13"
"0432";"Opmeer";"15"
"0437";"Ouder-Amstel";"15"
"0439";"Purmerend";"37"
"0441";"Schagen";"29"
"0448";"Texel";"15"
"0450";"Uitgeest";"15"
"0451";"Uithoorn";"23"
"0453";"Velsen";"35"
"0473";"Zandvoort";"17"
"0479";"Zaanstad";"39"
"0482";"Alblasserdam";"19"
"0484";"Alphen aan den Rijn";"39"
"0489";"Barendrecht";"29"
"0498";"Drechterland";"19"
"0502";"Capelle aan den IJssel";"33"
"0503";"Delft";"39"
"0505";"Dordrecht";"39"
"0512";"Gorinchem";"25"
"0513";"Gouda";"35"
"0518";"'s-Gravenhage";"45"
"0523";"Hardinxveld-Giessendam";"17"
"0531";"Hendrik-Ido-Ambacht";"23"
"0532";"Stede Broec";"19"
"0534";"Hillegom";"19"
"0537";"Katwijk";"33"
